Timestamp,Vehicle ID,Speed (km/h)
20250404_132528,4,51.0,snapshots\vehicle_4_20250404_132528.jpg
20250404_132528,4,53.8,snapshots\vehicle_4_20250404_132528.jpg
20250404_132528,4,58.0,snapshots\vehicle_4_20250404_132528.jpg
20250404_132528,4,63.3,snapshots\vehicle_4_20250404_132528.jpg
20250404_132529,4,64.8,snapshots\vehicle_4_20250404_132529.jpg
20250404_132529,4,65.3,snapshots\vehicle_4_20250404_132529.jpg
20250404_132529,4,82.5,snapshots\vehicle_4_20250404_132529.jpg
20250404_132529,4,92.5,snapshots\vehicle_4_20250404_132529.jpg
20250404_132529,4,99.4,snapshots\vehicle_4_20250404_132529.jpg
20250404_132529,4,104.0,snapshots\vehicle_4_20250404_132529.jpg
20250404_132529,4,104.6,snapshots\vehicle_4_20250404_132529.jpg
20250404_132529,4,104.6,snapshots\vehicle_4_20250404_132529.jpg
20250404_132529,4,104.2,snapshots\vehicle_4_20250404_132529.jpg
20250404_132529,4,104.1,snapshots\vehicle_4_20250404_132529.jpg
20250404_132529,4,104.1,snapshots\vehicle_4_20250404_132529.jpg
20250404_132529,4,104.1,snapshots\vehicle_4_20250404_132529.jpg
20250404_132530,4,104.1,snapshots\vehicle_4_20250404_132530.jpg
20250404_132530,4,104.1,snapshots\vehicle_4_20250404_132530.jpg
20250404_132530,4,104.1,snapshots\vehicle_4_20250404_132530.jpg
20250404_132530,4,104.1,snapshots\vehicle_4_20250404_132530.jpg
20250404_132530,4,104.1,snapshots\vehicle_4_20250404_132530.jpg
20250404_132530,4,104.1,snapshots\vehicle_4_20250404_132530.jpg
20250404_132530,4,104.1,snapshots\vehicle_4_20250404_132530.jpg
20250404_132530,4,104.1,snapshots\vehicle_4_20250404_132530.jpg
20250404_132957,4,51.0,snapshots\vehicle_4_20250404_132957.jpg
20250404_132957,4,53.8,snapshots\vehicle_4_20250404_132957.jpg
20250404_132957,4,58.0,snapshots\vehicle_4_20250404_132957.jpg
